appliesTo,key,editorKind,sourceKind,quality,description
ArtObject,Buildup,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Buildup / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于建造条件、阵营可用性或生产经济，并可能涉及图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Cameo,Reference,Yuri,name-inferred-yuri-20260603,推断型字段：Cameo / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现。通常引用另一类 INI 对象或资源 ID。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,CameoPalette,Text,Ares,name-inferred-ares-20260603,推断型字段：CameoPalette / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,CanBeHidden,Text,Yuri,name-inferred-yuri-20260603,推断型字段：CanBeHidden / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于资源、矿石、回收或经济收益。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,CanHideThings,Text,Yuri,name-inferred-yuri-20260603,推断型字段：CanHideThings / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Cheer,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Cheer / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Crater,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Crater / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于数值阈值、间隔、次数或概率参数。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Crawl,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Crawl / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Crawls,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Crawls / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,CrawlSounds,Reference,Yuri,name-inferred-yuri-20260603,推断型字段：CrawlSounds / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于声音、语音或 EVA 提示。通常引用另一类 INI 对象或资源 ID。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,DamageFireOffset3,Text,Yuri,name-inferred-yuri-20260603,推断型字段：DamageFireOffset3 / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于武器、开火或投射表现，并可能涉及生命值、护甲、伤害或修理倍率。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,DamageLevels,Text,Yuri,name-inferred-yuri-20260603,推断型字段：DamageLevels / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于生命值、护甲、伤害或修理倍率。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,DamageRadius,Text,Yuri,name-inferred-yuri-20260603,推断型字段：DamageRadius / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于生命值、护甲、伤害或修理倍率。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,DelayedFireDelay,Text,Yuri,name-inferred-yuri-20260603,推断型字段：DelayedFireDelay / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于武器、开火或投射表现，并可能涉及数值阈值、间隔、次数或概率参数。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,DemandLoad,Text,Yuri,name-inferred-yuri-20260603,推断型字段：DemandLoad / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于部署、运输、乘员或形态切换。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,DemandLoadBuildup,Text,Yuri,name-inferred-yuri-20260603,推断型字段：DemandLoadBuildup / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于部署、运输、乘员或形态切换，并可能涉及建造条件、阵营可用性或生产经济。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Deploy,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Deploy / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于部署、运输、乘员或形态切换。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Deployed,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Deployed / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于部署、运输、乘员或形态切换。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,DetailLevel,Text,Yuri,name-inferred-yuri-20260603,推断型字段：DetailLevel / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于AI 行为、目标选择或威胁评估，并可能涉及建造条件、阵营可用性或生产经济。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Die1,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Die1 / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Die2,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Die2 / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Die3,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Die3 / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Die4,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Die4 / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Die5,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Die5 / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,DisableShadowCache,Text,Yuri,name-inferred-yuri-20260603,推断型字段：DisableShadowCache / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,DockingOffset3,Text,Yuri,name-inferred-yuri-20260603,推断型字段：DockingOffset3 / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于移动、寻路、部署或运动限制，并可能涉及图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Down,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Down / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Elasticity,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Elasticity / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,EliteSecondaryFireFLH,Text,Yuri,name-inferred-yuri-20260603,推断型字段：EliteSecondaryFireFLH / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于武器、开火或投射表现，并可能涉及图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,ExpireAnim,Text,Yuri,name-inferred-yuri-20260603,推断型字段：ExpireAnim / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,FireFly,Text,Yuri,name-inferred-yuri-20260603,推断型字段：FireFly / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于武器、开火或投射表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,FireProne,Text,Yuri,name-inferred-yuri-20260603,推断型字段：FireProne / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于武器、开火或投射表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,FireUp,Text,Yuri,name-inferred-yuri-20260603,推断型字段：FireUp / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于武器、开火或投射表现，并可能涉及图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,FiringFrames,Text,Yuri,name-inferred-yuri-20260603,推断型字段：FiringFrames / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Flat,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Flat / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Fly,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Fly / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,ForceBigCraters,Text,Yuri,name-inferred-yuri-20260603,推断型字段：ForceBigCraters / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于数值阈值、间隔、次数或概率参数。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,FreeBuildup,Text,Yuri,name-inferred-yuri-20260603,推断型字段：FreeBuildup / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于建造条件、阵营可用性或生产经济，并可能涉及图像、动画、炮口坐标或 UI 表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Guard,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Guard / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于AI 行为、目标选择或威胁评估。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Height,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Height / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Hover,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Hover / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于移动、寻路、部署或运动限制。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Idle2,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Idle2 / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,IsAnimDelayedFire,Text,Yuri,name-inferred-yuri-20260603,推断型字段：IsAnimDelayedFire / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现，并可能涉及侦察、雷达、隐形或伪装。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,IsMeteor,Text,Yuri,name-inferred-yuri-20260603,推断型字段：IsMeteor / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于侦察、雷达、隐形或伪装，并可能涉及列表型条件、允许/禁止关系或筛选规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Layer,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Layer / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,LineTrailColor,Text,Yuri,name-inferred-yuri-20260603,推断型字段：LineTrailColor / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于AI 行为、目标选择或威胁评估，并可能涉及颜色、光照或视觉着色。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,LineTrailColorDecrement,Text,Yuri,name-inferred-yuri-20260603,推断型字段：LineTrailColorDecrement / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于AI 行为、目标选择或威胁评估，并可能涉及颜色、光照或视觉着色。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,MaxXYVel,Text,Yuri,name-inferred-yuri-20260603,推断型字段：MaxXYVel / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于建造条件、阵营可用性或生产经济，并可能涉及数值阈值、间隔、次数或概率参数。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,MaxZVel,Text,Yuri,name-inferred-yuri-20260603,推断型字段：MaxZVel / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于建造条件、阵营可用性或生产经济，并可能涉及数值阈值、间隔、次数或概率参数。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,NumParticles,Text,Yuri,name-inferred-yuri-20260603,推断型字段：NumParticles / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于对象行为、显示或引擎内部规则。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,Paradrop,Text,Yuri,name-inferred-yuri-20260603,推断型字段：Paradrop / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于超级武器或特殊效果逻辑。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,PowerUp3Anim,Text,Yuri,name-inferred-yuri-20260603,推断型字段：PowerUp3Anim / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现，并可能涉及建造条件、阵营可用性或生产经济。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,PowerUp3AnimDamaged,Text,Yuri,name-inferred-yuri-20260603,推断型字段：PowerUp3AnimDamaged / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现，并可能涉及建造条件、阵营可用性或生产经济。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,PowerUp3LocX,Text,Yuri,name-inferred-yuri-20260603,推断型字段：PowerUp3LocX / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于图像、动画、炮口坐标或 UI 表现，并可能涉及建造条件、阵营可用性或生产经济。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
ArtObject,PowerUp3LocY,Text,Yuri,name-inferred-yuri-20260603,推断型字段：PowerUp3LocY / ArtObject 暂未完成官方逐条核验；根据字段名、所属 Art 图像对象 上下文和既有社区资料线索，它可能用于建造条件、阵营可用性或生产经济，并可能涉及武器、开火或投射表现。取值格式仍按原 INI 资料或项目内实际用法确认。该说明仅作为 BuiltIn 宽松兜底，不能替代 ModEnc、Ares 或 Phobos 官方字段页。
