Key,AppliesTo,EditorKind,SourceKind,CurrentQuality,CurrentTrustBucket,DescriptionShape,DescriptionSha256,SourceCount,SameKeyHigherQualityElsewhere,HigherQualityContexts,ProposedDisposition,ReviewReason
ActiveAnimZAdjust,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,90D5B5478E88DBF2A4BDD8735946E329C3007F4CF2E6FAE4FB1A0BF173A2E834,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AddOccupy1,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,0824DF2874BEA1F1CDF2044EF573BAEF91079D018C93DDD3C6A933D596AC7FDF,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AddOccupy2,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,5C1909B4E6C2AC83A128DD42048324B20EE86E875189E92A7196BF203504761A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AddOccupy3,ArtObject,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,73323162E306E29DFD7EE4CFB0F30F406A892B74C487EAC3E692BA0DA6430B35,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AddOccupy4,ArtObject,Text,Yuri,name-inferred-yuri-20260603,Inferred,UniformInferredTemplate,1BA4D494A0CD6391388D41D0B94BE257E166AF6DD3557D947AFD718F9B04F1C6,1,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
AddPlanningModeCommandSound,Global,Text,Yuri,auto-extracted,AutoExtracted,SpecificOrNeedsReview,37678DE18D5E77A3F1C9AD104E6A5C3144346BF474053AD05C27BC0876AB8BDE,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AddPlanningModeCommandSound,Techno,Reference,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,09BA01062B72B5287BE0C2F79FA68EF0DAED0D86C353A2ECD1C14D9570F5B410,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
Adjacent,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,602E1ECC174C073A90E1C7869F2755EA32790B4A6AD7805953F2083F6AC4A447,2,True,Building,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
Adjacent.Allowed,Building,Reference,Phobos,community-source-assisted-inferred-phobos-20260603,Inferred,UniformInferredTemplate,31BE19054AFB310D3B56A72814678ADB1F0DCE268D435915315ABC6CAE4DEDD0,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
Adjacent.Disallowed,Building,Reference,Phobos,community-source-assisted-inferred-phobos-20260603,Inferred,UniformInferredTemplate,8252532B2534C9A99A0CFE4348FFB61CD6DF826F35F133B42A6550E6C029A7B2,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
Adjacent.Disallowed.Prohibit,Building,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
Adjacent.Disallowed.ProhibitDistance,Building,Integer,Phobos,community-source-assisted-inferred-phobos-20260603,Inferred,UniformInferredTemplate,22ECCEEA947C80E86F2C786D7178155D531C6F1AD41D6751CC8238B6B2711364,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
AdjacentWallDamage,Global,Integer,Phobos,name-inferred-phobos-20260603,Inferred,UniformInferredTemplate,A2E8E1C1AEF13B5CC6DCAFBB129F48F68BC7C778091D2BA7C9AA63644724065A,1,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
AdjustTargetCoordsOnRotation,ParticleSystem,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
AffectsAir,Warhead,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
AffectsAllies,Weapon,Boolean,Yuri,source-verified-guardrail-warhead-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,4D541507620DAF584AE227A776312F1240B872266099DFF5877F6A4B7A4089D0,1,True,Warhead,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AffectsGround,Warhead,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
AffectsUnderground,Warhead,Boolean,Phobos,auto-extracted,AutoExtracted,GenericTypeOnly,2067A2273E494BB45225D608844C910E9DF9189E03787B71AABDFB0C92B5D34A,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Phobos key range AbsorbOverDamage..IsHideable. Source metadata alone is insufficient because extraction produced context errors.
AffectsVeterancy,Warhead,MultiSelect,Phobos,community-source-assisted-inferred-phobos-20260603,Inferred,UniformInferredTemplate,E9184DFA6126F0CF2E9BBFD6FDCDF9E8C6425072502F3399B6355401A3E61A44,2,False,,Quarantine,Uniform inferred template has no field-specific verified semantics; quarantined by exact context while non-template definitions remain.
AG,Techno,Text,Yuri,source-verified-guardrail-projectile-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,FCB7F1A2BAF5CE1B1F49F883BF28DCFA4C096F372EC9203DB51DE1B1074F375F,1,True,Projectile,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AG,Weapon,Text,Yuri,source-verified-guardrail-projectile-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,6E950E854124B6097E7A4D1EFC696D4208956C588B887B473312AA85A015E771,1,True,Projectile,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
Agent,AI,Text,Yuri,source-verified-legacy-guardrail-ai-schema-recheck-20260603,VerifiedGuardrail,SpecificOrNeedsReview,71A7F5E055DB063F01D4AA460C6A139A0B7FA1564CF0D1BC5F00B8819D69E35B,1,True,Infantry,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
Agent,Techno,Text,Yuri,source-verified-legacy-guardrail-ai-schema-recheck-20260603,VerifiedGuardrail,SpecificOrNeedsReview,0D6717C2352F80EBFCC4E231873D8ED4A916489DD6EE00905EDE8976611DD73D,1,True,Infantry,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
Aggressive,AI,Text,Yuri,source-verified-legacy-guardrail-teamtypes-schema-recheck-20260603,VerifiedGuardrail,SpecificOrNeedsReview,B67C33678447D7929D9CFF761EFDA98651D0D8FFB940ED362BC80A598529D4DE,1,True,TeamType,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
Aggressive,Techno,Text,Yuri,source-verified-legacy-guardrail-teamtypes-schema-recheck-20260603,VerifiedGuardrail,SpecificOrNeedsReview,FB10227FAFBAFA7721C2C0F8CEE0FFBD84727ED63016446EBEF4B00707F544E7,1,True,TeamType,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AI2333,AI,Text,Yuri,auto-extracted,AutoExtracted,ShortDescription,C522275AD4078610BD8C83527F719747E589B1BE2AEEDE394A4719828E89A974,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AI555,AI,Text,Yuri,auto-extracted,AutoExtracted,ShortDescription,380918B946A526640A40DF5DCED6516794F3D97BBD9E6BB553D037C4439F31C3,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AIAllToHunt,Techno,Boolean,Phobos,community-reference-inferred-phobos-20260603,Inferred,UniformInferredTemplate,924A1E298E1BFDE472F8A4C6B04B21D9D821765844662299BA2976776DCB1D4B,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AIAlternateProductionCreditCutoff,AI,Text,Yuri,source-verified-guardrail-general-ai-controls-20260604,VerifiedGuardrail,SpecificOrNeedsReview,209F18FD5E229DCD1A6730A83C319758F701F37A24168E8C630B6F6F78808E60,3,True,Global,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AIAlternateProductionCreditCutoff,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,78DB764B00453F82C237C967F88AF64A3BECA0CD149CAF62675483EA7D1C9282,2,True,Global,SupersededRemove,Canonical Global row is source-verified against ModEnc General; remove the broad Techno inferred fallback.
AIAttackMoveTargetingDelay,Techno,Integer,Phobos,community-reference-inferred-phobos-20260603,Inferred,UniformInferredTemplate,5B36047070FA3CA8D93027A50FFFB8BEB8ED075BFF6E454E0104B5AD190CDC09,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AIAutoDeployFrameDelay,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,147750D4E3C3E4FAC1E3B7EECD9A5EEF4BFF2088908700E3ECB37AD403B0D933,2,True,Global,SupersededRemove,Canonical Global row is source-verified against ModEnc General; remove the broad Techno inferred fallback.
AIAutoDeployMCV,Animation,Boolean,Phobos,source-verified-guardrail-phobos-animation-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,47F89868E07315C5E81CBAAA10BB2F34896DFB0E94836D509470514468972A30,1,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AIBasePlanningSide,AI,Text,Yuri,community-reviewed-wrong-context-guardrail-p0-20260603,VerifiedGuardrail,SpecificOrNeedsReview,2DCE522CE9B6E5127817B08AA37B40D043A3FB95C506E53FBC9366E4D3229220,2,True,Building,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion. Runtime quality normalized with the manual-curated prefix while preserving its guardrail classification.
AIBasePlanningSide,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,9B0BF1E28953079904C3D966DE844C8F34A67B32EBFF47F8CEB2EB890B93662F,2,True,Building,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AIBiasSpawnCell,Animation,Boolean,Phobos,source-verified-guardrail-phobos-animation-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,74E944B9BA7CCB39FC990D8296AD908E5EBDA089E39ADB498AB6960D9077CC96,1,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AIBuildsWalls,Global,Boolean,Yuri,community-verified-obsolete-guardrail-p1-20260603,Obsolete,RawLegacyFragment,2C22B5E3268350E944D4F81C4BE2D4D6C7987F3246AA87B877A4B19382C68198,2,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AIBuildsWalls,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,07BC6CA6CE4EEC31EB50F291D4E40C8AD026C3AD793E6E68380BB252BC62149B,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AIBuildThis,AI,Boolean,Yuri,community-reviewed-wrong-context-guardrail-p0-20260603,VerifiedGuardrail,SpecificOrNeedsReview,1C17AB6AF7AA054D22EAEE70E24B74FD929FE146108638A5D8E06B2F63409CF5,2,True,Building,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion. Runtime quality normalized with the manual-curated prefix while preserving its guardrail classification.
AIBuildThis,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,8A76DD53298A93C6AB88B312EE818115D8DCC2079118B07AF52B945E86093359,2,True,Building,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AICaptureLowMoneyMark,AI,Text,Yuri,source-verified-guardrail-general-ai-controls-20260604,VerifiedGuardrail,SpecificOrNeedsReview,9D2546DEAC2B0F24D8FFF8CC0D90B77D0669D25B63A3C9734F69E3FA42E0F0E9,2,True,Global,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AICaptureLowMoneyMark,Techno,Text,Yuri,source-verified-legacy-guardrail-ai-schema-recheck-20260603,VerifiedGuardrail,SpecificOrNeedsReview,9B89485A472EEF40AADCDE3E668F60A5BCE4FF5CC20215A9AD6ADE8CA0151B32,1,True,Global,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AICaptureWounded,AI,Text,Yuri,source-verified-guardrail-general-ai-controls-20260604,VerifiedGuardrail,SpecificOrNeedsReview,F03670AAB1CE748E3B5F18083027C326477449691D469946F06AF83C64D3DFB7,3,True,Global,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AICleanWallNode,Animation,Boolean,Phobos,source-verified-guardrail-phobos-animation-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,066737DB05D46C2DF153BD6B09A7501E3987C4FE5DAC11F816704BF974340A75,1,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AIDifficulty,Global,Text,Yuri,community-reviewed-ai-iq-behavior-p0-20260603,Unknown,SpecificOrNeedsReview,6820BD1ACC4161914307289B0493B7F7977A648E17AFD5BF5788A0C48C95323A,2,False,,RetainReviewed,Specific community-reviewed row retained; quality normalized to the existing manual-curated trust family without changing field identity or description.
AIDifficulty,Techno,Text,Yuri,community-reference-inferred-yuri-20260603,Inferred,UniformInferredTemplate,EE2F67BD7C35DB544B4A146C504515977EFD8F043429ED491EFFF36A1CD18620,2,True,Global,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AIExtraRefineries,AI,Text,Yuri,source-verified-guardrail-general-ai-controls-20260604,VerifiedGuardrail,SpecificOrNeedsReview,F06E42AD24CF7107A5BCBC36CABD93E2154BB8F492F02CD6216A6F1FF3FE69B2,3,True,Global,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AIFireSale,Techno,Boolean,Phobos,community-reference-inferred-phobos-20260603,Inferred,UniformInferredTemplate,1ED5E1639FC00A9164364968536ACABB1D4DA65BE0B08F07A1C5B92CCF11E506,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AIFireSaleDelay,Techno,Integer,Phobos,community-reference-inferred-phobos-20260603,Inferred,UniformInferredTemplate,A2C6962159CF1DC43864134699C3E829E999EA16E25CE39B5D1A59B37F374D77,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AIForbidConYard,Animation,Boolean,Phobos,source-verified-guardrail-phobos-animation-core-20260603,VerifiedGuardrail,SpecificOrNeedsReview,754C438FA5766F3A754EC57CF616DD1D579638F5AAE5CA3E3953D5DC85B0F264,1,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AIGuardAreaTargetingDelay,Techno,Integer,Phobos,community-reference-inferred-phobos-20260603,Inferred,UniformInferredTemplate,4B3E9C43BF8E4308BEBF56120C0AB32ACFF0FB5444FFAF13D534BB02DB769399,2,False,,Quarantine,Uniform inferred Techno fallback has no field-specific verified semantics; quarantined in stable key range AARate..Culling.
AIHateDelays,AI,Text,Yuri,source-verified-guardrail-general-ai-controls-20260604,VerifiedGuardrail,SpecificOrNeedsReview,CE9E4EEBAEC90779CD9728A1627C3AE60E5F05972B7003A0A9CB8DAEB716DF99,3,True,Global;Techno,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion.
AIIonCannonAPCvalue,Global,Text,Yuri,community-reviewed-ts-ioncannon-or-legacy-guardrail-p0-20260603,VerifiedGuardrail,SpecificOrNeedsReview,D58B97F3D074E40FA9FF440F1ACEB65AD586DA6C7FDE2EF493EFB912876B733E,2,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion. Runtime quality normalized with the manual-curated prefix while preserving its guardrail classification.
AIIonCannonAPCValue,Techno,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,C502EF800BE5AEF875905D005A88B1C2743C15D8D719794EA9C33CF4F09CC1FC,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AIIonCannonBaseDefensevalue,Global,Text,Yuri,community-reviewed-ts-ioncannon-or-legacy-guardrail-p0-20260603,VerifiedGuardrail,SpecificOrNeedsReview,3DC7BC3407C9F651433879349EAFBEED0B801055860260A7B830858865CA9A00,2,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion. Runtime quality normalized with the manual-curated prefix while preserving its guardrail classification.
AIIonCannonBaseDefenseValue,Techno,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,8B03614C4248B0681AA66EC3CCFE9DA220D9CEDBD500CB7DC647BD1099D2D302,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AIIonCannonConYardvalue,Global,Text,Yuri,community-reviewed-ts-ioncannon-or-legacy-guardrail-p0-20260603,VerifiedGuardrail,SpecificOrNeedsReview,D62E5C344D60C93E6F9CE9CB2D443D934EAEC719E21BE615185B4D96A3A9B049,2,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion. Runtime quality normalized with the manual-curated prefix while preserving its guardrail classification.
AIIonCannonConYardValue,Techno,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,116315E5D7D387B2595456F58598CE3C48B47C0464E408E149F2A8D5A53CC27E,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
AIIonCannonEngineervalue,Global,Text,Yuri,community-reviewed-ts-ioncannon-or-legacy-guardrail-p0-20260603,VerifiedGuardrail,SpecificOrNeedsReview,1DB9A90C0A6070189BCCA604DB3C1F1099A5BDA7DA2EC4F1446450D4E8E68433,2,False,,DiagnosticOnlyKeep,Existing diagnostic trust state; retain lookup/diagnostics and exclude from key completion. Runtime quality normalized with the manual-curated prefix while preserving its guardrail classification.
AIIonCannonEngineerValue,Techno,Text,Yuri,auto-extracted,AutoExtracted,KeyPlusField,76D7AE34BDC2EA65837CC7D3725F76149D811440A0B07E388E095E427EA089EB,1,False,,Quarantine,Auto-extracted row was not individually verified; quarantined in stable Yuri key range ActivateSound..DeployedFire. Source metadata alone is insufficient because extraction produced context errors.
