Priority,IntegrationBucket,MergeAction,Key,CurrentAppliesTo,CurrentQuality,RecommendedQuality,RecommendedDescription,SourceUrl,Decision
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightGold,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightGold 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightGold,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightGold 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightGreen,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightGreen 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightGrey,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightGrey 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightGrey,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightGrey 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightLime,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightLime 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightMagenta,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightMagenta 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightOrange,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightOrange 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightPeach,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightPeach 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightPurple,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightPurple 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightRed,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightRed 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightSize,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightSize 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightSky,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightSky 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightTeal,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightTeal 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LightYellow,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LightYellow 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Lime,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Lime 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,LowWhite,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,LowWhite 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Magenta,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Magenta 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Magenta,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Magenta 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,NeonBlue,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,NeonBlue 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,NeonBlue,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,NeonBlue 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,NeonGreen,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,NeonGreen 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,NeonGreen,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,NeonGreen 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,NeonYellow,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,NeonYellow 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,None,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,None 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Orange,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Orange 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Orange,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Orange 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Peach,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Peach 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Purple,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Purple 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Purple2,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Purple2 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Red,Global,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Red 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Red,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Red 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Sky,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Sky 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,StrongBlue,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,StrongBlue 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,StrongGreen,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,StrongGreen 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,StrongRed,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,StrongRed 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,Teal,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,Teal 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToColorSectionOrRemoveTechnoDuplicate,White,Techno,auto-extracted,community-reviewed-color-token-guardrail-p0-20260603,White 更像颜色名称或 RGB 片段，不应作为 TechnoType 普通字段；若需要保留，应归入颜色/调色板上下文并清理 RGB 示例。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,RemoveFromRuntime,AI114514,AI,auto-extracted,removed-noise-p0-20260603,旧教程示例或噪声文本，不是可稳定识别的 RA2/YR 字段；不建议作为 BuiltIn 字段保留。,https://modenc.renegadeprojects.com/AI,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToNonExistentGuardrailOrRemove,BalloonHoverAcceleration,Global,auto-extracted,source-verified-non-existent-guardrail-p0-20260603,BalloonHoverAcceleration 属于历史/开发阶段 BalloonHover 后缀字段；资料列为 non-existent 或未实现，不应作为普通 Global canonical 字段。,https://modenc.renegadeprojects.com/Non-Existent_Flags,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToNonExistentGuardrailOrRemove,BalloonHoverBob,Global,auto-extracted,source-verified-non-existent-guardrail-p0-20260603,BalloonHoverBob 属于历史/开发阶段 BalloonHover 后缀字段；资料列为 non-existent 或未实现，不应作为普通 Global canonical 字段。,https://modenc.renegadeprojects.com/Non-Existent_Flags,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToNonExistentGuardrailOrRemove,BalloonHoverBoost,Global,auto-extracted,source-verified-non-existent-guardrail-p0-20260603,BalloonHoverBoost 属于历史/开发阶段 BalloonHover 后缀字段；资料列为 non-existent 或未实现，不应作为普通 Global canonical 字段。,https://modenc.renegadeprojects.com/Non-Existent_Flags,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToNonExistentGuardrailOrRemove,BalloonHoverBrake,Global,auto-extracted,source-verified-non-existent-guardrail-p0-20260603,BalloonHoverBrake 属于历史/开发阶段 BalloonHover 后缀字段；资料列为 non-existent 或未实现，不应作为普通 Global canonical 字段。,https://modenc.renegadeprojects.com/Non-Existent_Flags,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToNonExistentGuardrailOrRemove,BalloonHoverHeight,Global,auto-extracted,source-verified-non-existent-guardrail-p0-20260603,BalloonHoverHeight 属于历史/开发阶段 BalloonHover 后缀字段；资料列为 non-existent 或未实现，不应作为普通 Global canonical 字段。,https://modenc.renegadeprojects.com/Non-Existent_Flags,RemovedFromRuntimeToBacklog
P0,RemoveOrBacklog,MoveToObsoleteGuardrailOrRemove,DamageToFirestormDamageCoefficient,Global,auto-extracted,community-reviewed-firestorm-leftover-guardrail-p0-20260603,DamageToFirestormDamageCoefficient 带 Firestorm/TS 遗留语义；RA2/YR 中不应作为普通 Global canonical，建议 obsolete guardrail 或移除。,https://modenc.renegadeprojects.com/General,RemovedFromRuntimeToBacklog
